gage,NP,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1403150,1,,,,,,,,,,,,,,,,,,,,,,,,
1403150,1,,,,,,,,,,,,,,,,,,,,,,,,
1403150,1,,,,,,,,,,,,,,,,,,,,,,,,
1403150,1,,,,,,,,,,,,,,,,,,,,,,,,
1403150,1,,,,,,,,,,,,,,,,,,,,,,,,
1403150,1,,,,,,,,,,,,,,,,,,,,,,,,
1403150,1,,,,,,,,,,,,,,,,,,,,,,,,
1403150,1,,,,,,,,,,,,,,,,,,,,,,,,
1403150,1,,,,,,,,,,,,,,,,,,,,,,,,
1403150,1,,,,,,,,,,,,,,,,,,,,,,,,
1403150,1,,,,,,,,,,,,,,,,,,,,,,,,
1403150,1,,,,,,,,,,,,,,,,,,,,,,,,
1403150,1,,,,,,,,,,,,,,,,,,,,,,,,
1403150,1,,,,,,,,,,,,,,,,,,,,,,,,
1403400,1,,,,,,,,,,,,,,,,,,,,,,,,
1403400,1,,,,,,,,,,,,,,,,,,,,,,,,
1403540,1,,,,,,,,,,,,,,,,,,,,,,,,
1405400,1,,,,,,,,,,,,,,,,,,,,,,,,
1405400,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407500,1,,,,,,,,,,,,,,,,,,,,,,,,
1407705,1,,,,,,,,,,,,,,,,,,,,,,,,
1472620,1,,,,,,,,,,,,,,,,,,,,,,,,
1472620,1,,,,,,,,,,,,,,,,,,,,,,,,
1472620,1,,,,,,,,,,,,,,,,,,,,,,,,
1472620,1,,,,,,,,,,,,,,,,,,,,,,,,
1472620,1,,,,,,,,,,,,,,,,,,,,,,,,
1472620,1,,,,,,,,,,,,,,,,,,,,,,,,
1472620,1,,,,,,,,,,,,,,,,,,,,,,,,
1483200,1,,,,,,,,,,,,,,,,,,,,,,,,
1483200,1,,,,,,,,,,,,,,,,,,,,,,,,
1483200,1,,,,,,,,,,,,,,,,,,,,,,,,
1483200,1,,,,,,,,,,,,,,,,,,,,,,,,
1483200,1,,,,,,,,,,,,,,,,,,,,,,,,
1483200,1,,,,,,,,,,,,,,,,,,,,,,,,
1483200,1,,,,,,,,,,,,,,,,,,,,,,,,
